plu_code,language_code,category,commodity,variety,size_label,scientific_name,display_name
3000,EN,Fruits,Apples,Alkmene,All Sizes,Malus domestica,Alkmene Apples
3000,ES,Fruits,Manzanas,Alkmene,Todos los tamaños,Malus domestica,Alkmene Manzanas
3000,FR,Fruits,Pommes,Alkmene,,,Alkmene Pommes
3001,EN,Fruits,Apples,Aurora/Southern Rose,Small,Malus domestica,Aurora/Southern Rose Apples
3001,ES,Fruits,Manzanas,Aurora/Southern Rose,Pequeño,Malus domestica,Aurora/Southern Rose Manzanas
3001,FR,Fruits,Pommes,Aurora/Southern Rose,petites,,Aurora/Southern Rose Pommes
3002,EN,Fruits,Apples,Cantared,All Sizes,Malus domestica,Cantared Apples
3002,ES,Fruits,Manzanas,Cantared,Todos los tamaños,Malus domestica,Cantared Manzanas
3002,FR,Fruits,Pommes,Cantared,,,Cantared Pommes
3003,EN,Fruits,Apples,D'estivale,All Sizes,Malus domestica,D'estivale Apples
3003,ES,Fruits,Manzanas,D'estivale,Todos los tamaños,Malus domestica,D'estivale Manzanas
3003,FR,Fruits,Pommes,D'estivale,Toutes les tailles,,D'estivale Pommes
3004,EN,Fruits,Apples,Discovery,All Sizes,Malus domestica,Discovery Apples
3004,ES,Fruits,Manzanas,Discovery,Todos los tamaños,Malus domestica,Discovery Manzanas
3004,FR,Fruits,Pommes,Discovery,,,Discovery Pommes
3005,EN,Fruits,Apples,Golden Delicious Blush,All Sizes,Malus domestica,Golden Delicious Blush Apples
3005,ES,Fruits,Manzanas,Dorado Delicious Blush,Todos los tamaños,Malus domestica,Dorado Delicious Blush Manzanas
3005,FR,Fruits,Pommes,Golden Delicious Blush,,,Golden Delicious Blush Pommes
3006,EN,Fruits,Apples,Ingrid Marie,All Sizes,Malus domestica,Ingrid Marie Apples
3006,ES,Fruits,Manzanas,Ingrid Marie,Todos los tamaños,Malus domestica,Ingrid Marie Manzanas
3006,FR,Fruits,Pommes,Ingrid Marie,,,Ingrid Marie Pommes
3007,EN,Fruits,Apples,Lochbuie,All Sizes,Malus domestica,Lochbuie Apples
3007,ES,Fruits,Manzanas,Lochbuie,Todos los tamaños,Malus domestica,Lochbuie Manzanas
3007,FR,Fruits,Pommes,Lochbuie,Toutes les tailles,,Lochbuie Pommes
3008,EN,Fruits,Apples,Rubinette,All Sizes,Malus domestica,Rubinette Apples
3008,ES,Fruits,Manzanas,Rubinette,Todos los tamaños,Malus domestica,Rubinette Manzanas
3008,FR,Fruits,Pommes,Rubinette,Toutes les tailles,,Rubinette Pommes
3009,EN,Fruits,Apples,Russet,All Sizes,Malus domestica,Russet Apples
3009,ES,Fruits,Manzanas,Russet,Todos los tamaños,Malus domestica,Russet Manzanas
3009,FR,Fruits,Pommes,Russet,Toutes les tailles,,Russet Pommes
3010,EN,Fruits,Apples,Cripps Red,Small,Malus domestica,Cripps Red Apples
3010,ES,Fruits,Manzanas,Cripps Rojo,Pequeño,Malus domestica,Cripps Rojo Manzanas
3010,FR,Fruits,Pommes,Cripps Pink Rouge,petites,,Cripps Pink Rouge Pommes
3011,EN,Fruits,Apples,Worcester,All Sizes,Malus domestica,Worcester Apples
3011,ES,Fruits,Manzanas,Worcester,Todos los tamaños,Malus domestica,Worcester Manzanas
3011,FR,Fruits,Pommes,Worcester,Toutes les tailles,,Worcester Pommes
3012,EN,Fruits,Pears,Abate Fetel,All Sizes,Pyrus spp.,Abate Fetel Pears
3012,ES,Fruits,Pera,Abate Fetel,Todos los tamaños,Pyrus spp.,Abate Fetel Pera
3012,FR,Fruits,Poires,Abate Fetel,Toutes les tailles,,Abate Fetel Poires
3013,EN,Fruits,Pears,Beurre Hardy,All Sizes,Pyrus spp.,Beurre Hardy Pears
3013,ES,Fruits,Pera,Beurre Hardy,Todos los tamaños,Pyrus spp.,Beurre Hardy Pera
3013,FR,Fruits,Poires,Beurré Hardy,Toutes les tailles,,Beurré Hardy Poires
3014,EN,Fruits,Pears,Bon Rouge,All Sizes,Pyrus spp.,Bon Rouge Pears
3014,ES,Fruits,Peras,Bon Rouge,Todos los tamaños,Pyrus spp.,Bon Rouge Peras
3014,FR,Fruits,Poires,Bon Rouge,Toutes les tailles,,Bon Rouge Poires
3015,EN,Fruits,Pears,Clara Friis,All Sizes,Pyrus spp.,Clara Friis Pears
3015,ES,Fruits,Peras,Clara Friis,Todos los tamaños,Pyrus spp.,Clara Friis Peras
3015,FR,Fruits,Poires,Clara Friis,Toutes les tailles,,Clara Friis Poires
3016,EN,Fruits,Pears,Concorde,All Sizes,Pyrus spp.,Concorde Pears
3016,ES,Fruits,Peras,Concorde,Todos los tamaños,Pyrus spp.,Concorde Peras
3016,FR,Fruits,Poires,Concorde,Toutes les tailles,,Concorde Poires
3017,EN,Fruits,Pears,Conference,All Sizes,Pyrus spp.,Conference Pears
3017,ES,Fruits,Peras,Conference,Todos los tamaños,Pyrus spp.,Conference Peras
3017,FR,Fruits,Poires,Conférence,Toutes les tailles,,Conférence Poires
3018,EN,Fruits,Pears,Durondeau,All Sizes,Pyrus spp.,Durondeau Pears
3018,ES,Fruits,Pera,Durondeau,Todos los tamaños,Pyrus spp.,Durondeau Pera
3018,FR,Fruits,Poires,Durondeau,Toutes les tailles,,Durondeau Poires
3019,EN,Fruits,Pears,Flamingo,All Sizes,Pyrus spp.,Flamingo Pears
3019,ES,Fruits,Peras,Flamingo,Todos los tamaños,Pyrus spp.,Flamingo Peras
3019,FR,Fruits,Poires,Flamingo,Toutes les tailles,,Flamingo Poires
3020,EN,Fruits,Pears,General Leclerc,All Sizes,Pyrus spp.,General Leclerc Pears
3020,ES,Fruits,Peras,General Leclerc,Todos los tamaños,Pyrus spp.,General Leclerc Peras
3020,FR,Fruits,Poires,Général Leclerc,,,Général Leclerc Poires
3021,EN,Fruits,Pears,Guyot,All Sizes,Pyrus spp.,Guyot Pears
3021,ES,Fruits,Pera,Guyot,Todos los tamaños,Pyrus spp.,Guyot Pera
3021,FR,Fruits,Poires,Guyot/Limonera,,,Guyot/Limonera Poires
3022,EN,Fruits,Pears,Josephine,All Sizes,Pyrus spp.,Josephine Pears
3022,ES,Fruits,Pera,Josephine,Todos los tamaños,Pyrus spp.,Josephine Pera
3022,FR,Fruits,Poires,Joséphine,,,Joséphine Poires
3023,EN,Fruits,Pears,Passe Crassane,Small,Pyrus spp.,Passe Crassane Pears
3023,ES,Fruits,Pera,Passe Crassane,Pequeño,Pyrus spp.,Passe Crassane Pera
3023,FR,Fruits,Poires,Passe Crassane,petites,,Passe Crassane Poires
3024,EN,Fruits,Pears,Rocha,All Sizes,Pyrus spp.,Rocha Pears
3024,ES,Fruits,Pera,Rocha,Todos los tamaños,Pyrus spp.,Rocha Pera
3024,FR,Fruits,Poires,Rocha,,,Rocha Poires
3025,EN,Fruits,Pears,Rosemarie,All Sizes,Pyrus spp.,Rosemarie Pears
3025,ES,Fruits,Pera,Rosemarie,Todos los tamaños,Pyrus spp.,Rosemarie Pera
3025,FR,Fruits,Poires,Rosemarie,,,Rosemarie Poires
3026,EN,Fruits,Pears,Triumph De Vienne,All Sizes,Pyrus spp.,Triumph De Vienne Pears
3026,ES,Fruits,Pera,Triumph De Vienne,Todos los tamaños,Pyrus spp.,Triumph De Vienne Pera
3026,FR,Fruits,Poires,Triomphe De Vienne,,,Triomphe De Vienne Poires
3027,EN,Fruits,Oranges,Shamouti,All Sizes,Citrus spp.,Shamouti Oranges
3027,ES,Fruits,Naranjas,Shamouti,Todos los tamaños,Citrus spp.,Shamouti Naranjas
3027,FR,Fruits,Oranges,Shamouti,,,Shamouti Oranges
3028,EN,Fruits,Oranges,Delta Seedless,Small,Citrus spp.,Delta Seedless Oranges
3028,ES,Fruits,Naranjas,Delta Sin Semillas,Pequeño,Citrus spp.,Delta Sin Semillas Naranjas
3028,FR,Fruits,Oranges,Delta Sans Pépins,petites,,Delta Sans Pépins Oranges
3029,EN,Fruits,Tangerines/Mandarins,Satsuma,All Sizes,Citrus unshiu,Satsuma Tangerines/Mandarins
3029,ES,Fruits,Mandarina,Satsuma,Todos los tamaños,Citrus unshiu,Satsuma Mandarina
3029,FR,Fruits,Mandarines,Satsuma,Toutes les tailles,,Satsuma Mandarines
3030,EN,Fruits,Tangerines/Mandarins,"Nova (includes Clemenvilla, Suntina)",All Sizes,Citrus spp.,"Nova (includes Clemenvilla, Suntina) Tangerines/Mandarins"
3030,ES,Fruits,Mandarina,Nova,Todos los tamaños,Citrus spp.,Nova Mandarina
3030,FR,Fruits,Mandarines,Nova,Toutes les tailles,,Nova Mandarines
3031,EN,Fruits,Tangerines/Mandarins,"Jamaican Tangor (includes Ortanique, Mandor, Mandora, Tambor, Topaz, Ortanline)",All Sizes,Citrus spp.,"Jamaican Tangor (includes Ortanique, Mandor, Mandora, Tambor, Topaz, Ortanline) Tangerines/Mandarins"
3031,ES,Fruits,Mandarina,Jamaican Tangor,Todos los tamaños,Citrus spp.,Jamaican Tangor Mandarina
3031,FR,Fruits,Tangerines/Mandarines,Tangor Jamaïcain,,,Tangor Jamaïcain Tangerines/Mandarines
3032,EN,Fruits,Tangerines/Mandarins,Ellendale,All Sizes,Citrus spp.,Ellendale Tangerines/Mandarins
3032,ES,Fruits,Mandarina,Ellendale,Todos los tamaños,Citrus spp.,Ellendale Mandarina
